Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-944,25.07.2022,Zemgale,2500,4.25,10.63,0,5,4.8,3.43,7.2,0.52
PME2-976,25.07.2022,Rīga,4000,8.1,20.25,0,11.1,11.25,3.38,16.88,1.23
PME2-783,24.07.2022,Latgale,1800,2.23,5.58,0,3,3,1.08,4.5,0.33
PME2-968,24.07.2022,Rīga,3500,4.84,12.1,0,8,7.74,0.49,11.61,0.84
PME2-961,23.07.2022,Rīga,1000,5.42,13.55,3,4,3.75,7.93,5.63,0.41
PME2-947,22.07.2022,Rīga,4000,7.26,18.15,0,10,8.7,5.1,13.05,0.95
PME2-974,21.07.2022,Rīga,2200,4.03,10.08,0,4.8,4.04,4.02,6.06,0.44
PME2-818,21.07.2022,Rīga,4000,4.31,10.78,0,10,8,-1.23,12,0.87
PME2-205,21.07.2022,Rīga,3200,5.61,14.03,0,7,6.3,4.58,9.45,0.69
PME2-824,21.07.2022,Rīga,2200,2.8,7,0,4,3.7,1.45,5.55,0.4
PME2-903,21.07.2022,Kurzeme,2800,3.72,9.3,0,6,6,0.3,9,0.65
PME2-652,19.07.2022,Rīga,1400,4.38,10.95,4.2,6.9,5.67,2.45,8.51,0.62
PME2-943,19.07.2022,Rīga,4000,2.45,6.13,0,10,10.78,-10.05,16.17,1.18
PME2-917,19.07.2022,Rīga,2200,2.83,7.08,0,4,3.91,1.21,5.87,0.43
PME2-937,19.07.2022,Rīga,4000,11.72,29.3,0,11.1,10.05,14.23,15.08,1.1
PME2-942,19.07.2022,Kurzeme,4000,7.72,19.3,0,10,10,4.3,15,1.09
PME2-951,19.07.2022,Rīga,3200,4,10,0,7,5.3,2.05,7.95,0.58
PME2-784,19.07.2022,Rīga,4000,7.34,18.35,0,11,11.1,1.7,16.65,1.21
PME2-854,20.07.2022,Rīga,4000,4.51,11.28,0,11,11,-5.23,16.5,1.2
PME2-958,20.07.2022,Rīga,4000,11.26,28.15,0,12,13,8.65,19.5,1.42
